flops,imem,pmem,ai_estimate,num_layers,hidden_size
22855418122.0,1072527572.0,178349168.0,18.27151900034531,12,360
23911538659.0,1129448280.0,189295376.0,18.132059669222024,13,360
31568267842.0,1344210452.0,249225968.0,19.81143862771757,12,480
33063637219.0,1417015320.0,264738416.0,19.66021333042545,13,480
40838224762.0,1632942932.0,325862768.0,20.848532737065245,12,600
42817079779.0,1723014360.0,346402256.0,20.690410740859733,13,600
50665288882.0,1938725012.0,408259568.0,21.5873974263606,12,720
53171866339.0,2047445400.0,434286896.0,21.425302972726435,13,720
61049460202.0,2261556692.0,496416368.0,22.13562601006697,12,840
64127996899.0,2390308440.0,528392336.0,21.97141873066059,13,840
71990738722.0,2601437972.0,590333168.0,22.555106730490703,12,960
75685471459.0,2751603480.0,628718576.0,22.390017934729,13,960
83489124442.0,2958368852.0,690009968.0,22.883896810364664,12,1080
87844290019.0,3131330520.0,735265616.0,22.71876527292945,13,1080
95544617362.0,3332349332.0,795446768.0,23.146641705969923,12,1200
100604452579.0,3529489560.0,848033456.0,22.98204994269298,13,1200
108157217482.0,3723379412.0,906643568.0,23.35997422673699,12,1320
113965959139.0,3946080600.0,967022096.0,23.196331562901246,13,1320
121326924802.0,4131459092.0,1023600368.0,23.53550443858508,12,1440
127928809699.0,4381103640.0,1092231536.0,23.37309987152886,13,1440
135053739322.0,4556588372.0,1146317168.0,23.68156694420718,12,1560
142493004259.0,4834558680.0,1223661776.0,23.52060399483752,13,1560
