flops,imem,pmem,ai_estimate,block_repeat
7034648117305.0,42036195944.0,97526360.0,166.96004370440255,1
7397085134905.0,43487746920.0,122624600.0,169.6175674979666,2
7759522152505.0,44939297896.0,147722840.0,172.10101767290567,3
8121959170105.0,46390848872.0,172821080.0,174.42695514501958,4
8484396187705.0,47842399848.0,197919320.0,176.60990465185162,5
8846833205305.0,49293950824.0,223017560.0,178.66265835780857,6
9209270222905.0,50745501800.0,248115800.0,180.59652670935432,7
9571707240505.0,52197052776.0,273214040.0,182.4215469319141,8
9934144258105.0,53648603752.0,298312280.0,184.1466572845852,9
10296581275705.0,55100154728.0,323410520.0,185.77984345885363,10
