flops,imem,pmem,ai_estimate,block_repeat,num_layers,hidden_size
13529190136.0,189370684.0,19684136.0,64.71599236984825,1.0,,
3336437075107.0,21031670744.0,59335772.0,158.1924064447053,1.0,,
7034648117305.0,42036195944.0,97526360.0,166.96004370440255,1.0,,
28026670840.0,319715900.0,44782376.0,76.89109300478557,2.0,,
3698874092707.0,22483221720.0,84434012.0,163.90156499339673,2.0,,
7397085134905.0,43487746920.0,122624600.0,169.6175674979666,2.0,,
42524151544.0,450061116.0,69880616.0,81.7863789860207,3.0,,
4061311110307.0,23934772696.0,109532252.0,168.90948268582906,3.0,,
7759522152505.0,44939297896.0,147722840.0,172.10101767290567,3.0,,
57021632248.0,580406332.0,94978856.0,84.42831329608609,4.0,,
4423748127907.0,25386323672.0,134630492.0,173.33788147102916,4.0,,
8121959170105.0,46390848872.0,172821080.0,174.42695514501958,4.0,,
71519112952.0,710751548.0,120077096.0,86.08166493595279,5.0,,
4786185145507.0,26837874648.0,159728732.0,177.28185269410383,5.0,,
8484396187705.0,47842399848.0,197919320.0,176.60990465185162,5.0,,
86016593656.0,841096764.0,145175336.0,87.2138567602186,6.0,,
5148622163107.0,28289425624.0,184826972.0,180.8167622924813,6.0,,
8846833205305.0,49293950824.0,223017560.0,178.66265835780857,6.0,,
100514074360.0,971441980.0,170273576.0,88.03775496600136,7.0,,
5511059180707.0,29740976600.0,209925212.0,184.00311333860947,7.0,,
9209270222905.0,50745501800.0,248115800.0,180.59652670935432,7.0,,
115011555064.0,1101787196.0,195371816.0,88.66419151393907,8.0,,
5873496198307.0,31192527576.0,235023452.0,186.89003775935572,8.0,,
9571707240505.0,52197052776.0,273214040.0,182.4215469319141,8.0,,
129509035768.0,1232132412.0,220470056.0,89.15655771004789,9.0,,
6235933215907.0,32644078552.0,260121692.0,189.5178478633319,9.0,,
9934144258105.0,53648603752.0,298312280.0,184.1466572845852,9.0,,
144006516472.0,1362477628.0,245568296.0,89.55373371040615,10.0,,
6598370233507.0,34095629528.0,285219932.0,191.9199303433092,10.0,,
10296581275705.0,55100154728.0,323410520.0,185.77984345885363,10.0,,
22855418122.0,1072527572.0,178349168.0,18.27151900034531,,12.0,360.0
23911538659.0,1129448280.0,189295376.0,18.132059669222024,,13.0,360.0
31568267842.0,1344210452.0,249225968.0,19.81143862771757,,12.0,480.0
33063637219.0,1417015320.0,264738416.0,19.66021333042545,,13.0,480.0
40838224762.0,1632942932.0,325862768.0,20.848532737065245,,12.0,600.0
42817079779.0,1723014360.0,346402256.0,20.690410740859733,,13.0,600.0
50665288882.0,1938725012.0,408259568.0,21.5873974263606,,12.0,720.0
53171866339.0,2047445400.0,434286896.0,21.425302972726435,,13.0,720.0
61049460202.0,2261556692.0,496416368.0,22.13562601006697,,12.0,840.0
64127996899.0,2390308440.0,528392336.0,21.97141873066059,,13.0,840.0
71990738722.0,2601437972.0,590333168.0,22.555106730490703,,12.0,960.0
75685471459.0,2751603480.0,628718576.0,22.390017934729,,13.0,960.0
83489124442.0,2958368852.0,690009968.0,22.883896810364664,,12.0,1080.0
87844290019.0,3131330520.0,735265616.0,22.71876527292945,,13.0,1080.0
95544617362.0,3332349332.0,795446768.0,23.146641705969923,,12.0,1200.0
100604452579.0,3529489560.0,848033456.0,22.98204994269298,,13.0,1200.0
108157217482.0,3723379412.0,906643568.0,23.35997422673699,,12.0,1320.0
113965959139.0,3946080600.0,967022096.0,23.196331562901246,,13.0,1320.0
121326924802.0,4131459092.0,1023600368.0,23.53550443858508,,12.0,1440.0
127928809699.0,4381103640.0,1092231536.0,23.37309987152886,,13.0,1440.0
135053739322.0,4556588372.0,1146317168.0,23.68156694420718,,12.0,1560.0
142493004259.0,4834558680.0,1223661776.0,23.52060399483752,,13.0,1560.0
